Team,Full Team Name,Base,Team Chief,Technical Chief,Chassis,Power Unit,First Team Entry,World Championships,Highest Race Finish,Pole Positions,Fastest Laps
Mercedes,Mercedes-AMG Petronas Motorsport,"Brackley, United Kingdom",Toto Wolff,James Allison,W10,Mercedes,1970,5,1,101,66
Ferrari,Scuderia Ferrari,"Maranello, Italy",Mattia Binotto,Simone Resta,SF90,Ferrari,1950,16,1,219,248
Red Bull Racing,Aston Martin Red Bull Racing,"Milton Keynes, United Kingdom",Christian Horner,Adrian Newey,RB15,Honda,1997,4,1,60,60
McLaren,McLaren F1 Team,"Woking, United Kingdom",Andreas Seidl,James Key,MCL34,Renault,1966,8,1,155,155
Renault,Renault F1 Team,"Enstone, United Kingdom",Cyril Abiteboul,Nick Chester,R.S.19,Renault,1986,2,1,51,31
Toro Rosso,Red Bull Toro Rosso Honda,"Faenza, Italy",Franz Tost,Jody Egginton,STR14,Honda,1985,0,1,1,1
Racing Point,SportPesa Racing Point F1 Team,"Silverstone, United Kingdom",Otmar Szafnauer,Andrew Green,RP19,BWT Mercedes,2018,0,4,0,0
Alfa Romeo,Alfa Romeo Racing,"Hinwil, Switzerland",Frédéric Vasseur,Simone Resta,C38,Ferrari,1993,0,1,0,0
Haas,Rich Energy Haas F1 Team,"Kannapolis, United States",Guenther Steiner,Rob Taylor,VF-19,Ferrari,2016,0,4,0,1
Williams,ROKiT Williams Racing,"Grove, United Kingdom",Claire Williams,Paddy Lowe,FW42,Mercedes,1978,9,1,128,133
